,mol_idx,atom_idx,experimental_shift,dft_shift
0,2192,0,108.4,107.01
1,2192,1,159.8,158.85
2,2192,2,109.4,106.13
3,2192,3,8.1,4.91
4,2192,4,159.8,159.01
5,2192,5,146.0,150.64
6,2192,6,18.3,18.08
7,2192,7,137.5,140.78
8,2192,8,120.9,125.54
9,2192,9,13.5,14.36
10,2192,10,104.6,103.85
11,2192,11,168.1,168.34
12,2192,15,113.2,114.73
13,2192,17,151.2,152.9
14,2192,18,116.4,117.98
15,2192,19,9.0,9.23
16,2192,20,159.5,163.25
17,2192,21,145.6,149.11
18,2192,22,18.2,19.01
19,2192,23,137.4,143.09
20,2192,24,121.0,123.96
21,2192,25,13.7,14.26
22,2192,27,112.4,103.05
23,2192,28,171.7,169.53
24,2193,0,35.9,34.54
25,2193,2,61.3,62.7
26,2193,3,17.3,24.71
27,2193,4,132.6,135.51
28,2193,5,11.7,19.03
29,2193,6,36.0,39.99
30,2193,7,23.8,26.73
31,2193,8,128.1,130.3
32,2193,9,81.5,77.39
33,2193,11,169.0,167.7
34,2193,13,137.9,142.86
35,2193,14,122.0,123.95
36,2193,16,172.0,171.08
37,2193,18,44.4,40.74
38,2193,19,26.2,28.76
39,2193,20,71.0,70.37
40,2193,22,34.6,33.37
41,2193,23,8.3,7.97
42,2193,24,44.0,38.13
43,2193,26,81.0,69.0
44,2193,28,65.9,63.24
45,2194,0,12.9,13.86
46,2194,1,21.2,24.49
47,2194,2,23.9,26.19
48,2194,3,52.0,56.18
49,2194,6,50.9,54.06
50,2194,8,171.5,171.83
51,2194,7,51.1,54.5
52,2198,0,144.8,147.9
53,2198,1,110.5,109.4
54,2198,2,124.7,124.48
55,2198,3,119.8,118.75
56,2198,4,119.5,119.42
57,2198,5,139.4,138.59
58,2198,6,123.8,122.83
59,2198,8,118.0,116.94
60,2198,9,136.2,134.89
61,2198,10,121.0,121.47
62,2198,11,109.8,108.98
63,2198,12,104.9,105.5
64,2198,13,151.2,150.86
65,2198,15,82.5,81.8
66,2198,16,128.0,130.57
67,2198,17,118.2,121.11
68,2198,18,144.8,145.79
69,2198,19,127.0,130.41
70,2198,20,128.1,128.48
71,2198,21,127.4,127.81
72,2198,22,128.1,126.5
73,2198,23,127.0,128.06
74,2198,24,127.0,127.81
75,2198,25,128.1,128.35
76,2198,26,127.4,126.39
77,2198,27,128.1,127.74
78,2198,28,127.0,125.46
79,2202,1,69.4,66.29
80,2202,3,57.6,60.97
81,2202,5,190.1,190.76
82,2202,6,25.7,22.68
83,2202,7,51.1,54.17
84,2202,9,45.7,46.73
85,2202,10,25.6,23.75
86,2202,11,24.1,21.72
87,2202,12,33.5,28.92
88,2202,13,174.5,175.69
89,2202,16,32.5,32.73
90,2202,17,173.1,174.82
91,2203,1,69.0,68.0
92,2203,3,58.5,58.25
93,2203,5,191.6,192.33
94,2203,6,143.0,141.66
95,2203,8,148.7,149.64
96,2203,9,109.7,111.76
97,2203,10,110.6,111.22
98,2203,11,46.5,48.33
99,2203,13,50.4,56.31
100,2203,14,170.4,166.87
101,2206,0,69.7,69.43
102,2206,1,74.1,74.25
103,2206,2,77.92,79.74
104,2206,4,54.44,56.01
105,2206,5,78.86,78.67
106,2206,6,60.68,64.38
107,2206,11,170.74,170.6
108,2206,13,42.21,46.02
109,2206,16,175.85,170.8
110,2206,17,22.09,21.85
111,2207,0,152.4,152.37
112,2207,1,127.2,129.47
113,2207,2,129.2,128.88
114,2207,3,127.3,126.83
115,2207,4,129.2,130.51
116,2207,5,127.2,128.18
117,2207,6,49.9,49.94
118,2207,7,32.0,33.42
119,2207,8,39.6,40.67
120,2207,9,193.8,192.22
121,2207,10,108.2,112.01
122,2207,11,149.9,147.51
123,2207,13,150.3,150.61
124,2207,14,57.9,65.39
125,2207,15,37.4,38.83
126,2207,16,166.1,165.26
127,2207,19,51.9,50.11
128,2207,20,121.2,122.13
129,2207,23,27.65,29.4
130,2207,24,27.65,22.8
131,2208,0,77.8,67.5
132,2208,1,123.1,126.93
133,2208,2,124.1,120.09
134,2208,3,111.5,119.14
135,2208,4,129.5,125.65
136,2208,5,143.2,149.26
137,2208,6,109.8,121.38
138,2208,9,154.5,154.05
139,2208,12,70.0,78.69
140,2208,13,84.7,80.2
141,2208,15,70.2,73.61
142,2208,16,80.2,73.32
143,2208,18,61.7,63.74
144,2212,13,54.1,53.48
145,2212,14,24.8,29.14
146,2212,10,131.0,133.03
147,2212,9,133.8,136.8
148,2212,24,141.0,138.39
149,2212,5,133.8,138.09
150,2212,4,131.0,131.49
151,2212,2,54.1,56.59
152,2212,3,24.8,28.42
153,2212,23,32.7,31.05
154,2212,20,173.0,176.28
155,2212,16,173.0,173.05
156,2212,15,32.7,31.14
157,2212,7,141.0,138.76
158,2230,0,123.7,124.72
159,2230,1,110.03,110.52
160,2230,2,117.72,116.86
161,2230,4,123.7,124.72
162,2230,5,113.29,112.99
163,2230,6,131.27,133.58
164,2230,7,97.86,95.74
165,2230,8,113.29,112.99
166,2230,10,131.27,133.58
167,2230,11,97.86,95.74
168,2230,12,117.72,116.86
169,2230,13,110.03,110.52
170,2241,0,130.0,128.53
171,2241,5,128.9,124.32
172,2241,4,116.4,113.68
173,2241,3,158.1,155.81
174,2241,2,116.4,114.32
175,2241,1,128.9,131.77
176,2241,6,150.6,149.02
177,2241,7,116.3,113.94
178,2241,9,156.5,154.22
179,2241,10,118.6,114.08
180,2241,11,116.1,114.77
181,2241,12,158.4,156.39
182,2241,13,116.1,112.51
183,2241,14,128.6,129.73
184,2241,15,123.0,121.7
185,2241,16,128.6,129.08
