,mol_id,atom_index,shift,DFT_shift
9,2192,27,112.4,103.054988685795
87,2207,14,57.9,65.38939444942
146,2245,4,65.92,74.288516270425
151,2245,14,203.43,211.092158079305
173,2251,0,183.83,171.864271634755
174,2251,6,185.42,178.401447320555
175,2255,7,19.5,25.7956039962
183,2255,17,131.7,142.99061814553
184,2255,18,131.7,143.673812925585
224,2282,24,17.6,25.86886211521
229,2282,23,25.6,17.60983069289
257,2290,13,132.24,139.115766212195
258,2290,8,136.57,145.51270768865
261,2290,3,168.92,160.027383265535
278,2293,6,182,7.107891758953
280,2293,23,204,9.575346391099
285,2339,32,60.9,52.411593026225
308,2340,13,14.7,1.130511642091
313,2340,19,43,0.912167353285
314,2340,15,44.6,4.406040793377
316,2340,17,58.9,3.539686407676
327,2348,9,108.8,121.51187887273
328,2348,10,121.5,129.10830123973
335,2348,11,143.3,137.31089105057
340,2361,6,48.9,35.11774796352
342,2361,11,111.2,94.3702290125
343,2361,10,124.8,141.697583351025
349,2361,7,142.5,153.0289133818
354,2366,21,20.9,1.421728565298
358,2366,11,26,1.031828049573
359,2366,12,28.3,1.120843933397
363,2366,13,44.9,1.126133811739
366,2366,20,50.2,1.402575557508
367,2366,6,50.5,5.552302707209
377,2370,20,56.5,3.954029809533
385,2370,6,133.4,7.506547935382
401,2425,11,21.5,4.826859735963
402,2425,13,21.5,2.323652822609
403,2425,15,24.5,2.66375551807999
407,2425,14,45.8,1.933569897286
413,2425,7,135.5,53.034383684405
415,2425,2,137.3,124.74915321885
417,2425,10,141.1,4.692971091031
421,2431,9,19,2.411665453644
422,2431,23,22.2,1.700450431042
423,2431,3,29,136.50737125974
427,2431,28,56.3,129.344022284935
428,2431,27,56.5,4.439968978605
429,2431,8,57.8,2.216122364588
431,2431,18,105.2,0.983215891705999
434,2431,21,115.9,3.110385418783
435,2431,20,116.5,0.994616491580999
436,2431,15,117.5,1.265221130214
437,2431,16,121.1,3.943632462447
440,2431,19,136,0.970173605448995
441,2431,22,138.3,2.128109733553
442,2431,13,154.4,1.357976410797
443,2431,10,157.3,2.157386474032
470,2440,25,12.3,1.109078514326
474,2440,19,18.9,1.446353861028
476,2440,26,19.5,1.014681547361
477,2440,24,22.9,0.939163973788997
478,2440,7,24.9,0.644298858621998
479,2440,22,26.2,1.399109775146
480,2440,8,26.6,1.416621096554
481,2440,27,28.9,35.7502032812
484,2440,21,33.6,2.049399992016
485,2440,20,34.9,1.537832274425
486,2440,9,35.8,0.950382164065996
489,2440,2,39.5,68.187603314455
494,2440,29,65.1,1.050889852564
496,2440,31,68.6,1.238862943303
512,2452,8,15.6,1.763108127955
513,2452,18,16.8,1.829414016828
515,2452,26,19.2,1.015502390552
516,2452,12,21.05,37.91025467945
517,2452,25,21.14,0.569602128240998
518,2452,10,32.1,2.066272879831
519,2452,16,36,1.930924958115
520,2452,17,36.9,1.874286777936
526,2452,9,78.4,2.408199671282
538,2453,29,44.1,4.832879252697
542,2453,26,128.6,6.469093346757
545,2453,25,133.1,7.075696464906
546,2453,7,141.3,0.581914776105997
548,2453,16,25.9,1.044961540629
550,2453,15,38.9,2.43027123264
552,2453,17,76.1,1.872371477157
553,2453,5,118.7,1.961296156182
555,2453,10,142,1.364451951526
556,2453,6,152.2,1.787915833283
564,2453,11,104.2,0.650318375355997
572,2469,6,158.1,165.84212565371
576,2481,6,100.6,92.244487155475
581,2481,13,146.5,155.91400753574
584,2481,9,167.2,151.697413242485
586,2481,7,173.5,164.356570841965
588,2481,15,188.4,181.096920855105
612,2495,14,37.3,45.993099359085
613,2495,13,41.6,28.00359210557
615,2495,0,108.5,102.438963289265
617,2495,2,112.9,124.325357899775
618,2495,4,112.9,124.98303797875
619,2495,1,115.2,124.62003336793
620,2495,3,115.2,124.091473139875
623,2495,8,145.5,133.792858345975
624,2495,11,145.5,137.220139897865
625,2495,7,160.4,140.5499050354
626,2495,12,160.4,142.256973842885
628,2495,6,193.8,178.2788027915
634,2506,1,101,111.43917744864
635,2506,0,109.7,120.5343952109
642,2529,11,20.7,4.920800678933
647,2529,5,85.2,4.799863115459
648,2529,4,105.3,4.895445744811
649,2529,9,109.4,156.36805323905
661,2537,1,144.1,151.377513013035
703,2553,33,18.1,25.95391111881
705,2553,31,26,18.196958757515
736,2558,14,133.8,124.390690997995
737,2558,17,192.7,185.037975706015
750,2559,7,74.5,3.128079149789
755,2559,17,121.5,5.01683933228
759,2559,16,160,4.581701236251
760,2559,5,175.1,3.107375660416
763,2568,1,26.2,33.493022054975
767,2568,21,37.9,2.917122449702
768,2568,23,39.1,3.402240775583
769,2568,13,40.1,2.608941433881
773,2568,27,48.4,1.696346215087
775,2568,22,49,3.486696419457
776,2568,17,56.5,2.179275625792
777,2568,25,56.5,2.207913932678
778,2568,24,63.7,3.146776133584
782,2568,14,78.9,4.020791722401
825,2581,27,17.1,1.455839160124
832,2581,26,34.6,1.291032088331
839,2581,6,144.5,151.54925401235
845,2581,28,176.7,0.905600607756998
846,2581,17,177.7,8.500041810889
849,2584,20,25.8,19.830672799395
858,2584,0,103.5,111.37635716189
860,2584,5,116.3,123.13921423934
868,2585,18,17.8,0.054386218689995
872,2585,14,31.9,2.008722651662
874,2585,13,47.8,1.658131404306
875,2585,11,75.3,140.39701012211
876,2585,28,96.2,2.214663087804
877,2585,26,103.2,4.50974064984
880,2585,25,107.8,4.270419257264
881,2585,20,111.2,5.528863073866
883,2585,15,124.4,1.741310180994
885,2585,17,131.6,0.983033482107999
886,2585,19,149.1,1.741310180994
888,2585,21,159.4,2.221138628533
890,2585,29,163,1.612255390409
897,2590,5,19.2,96.60489158209
915,2590,3,79,6.133824505633
920,2590,4,83.3,72.45561359625
924,2590,0,163.1,150.98503119074
925,2593,12,19.3,3.373602468697
926,2593,14,19.3,1.521689025002
927,2593,0,31.9,39.25170941805
930,2593,13,35.2,2.214024654211
935,2593,10,173.4,1.201560180512
956,2596,26,26.7,8.168421161725
957,2596,25,29.5,6.807554355846
959,2596,14,71.6,106.9613474091
962,2596,24,109.5,3.671386137432
965,2596,1,123.2,129.574814353795
967,2596,18,125.3,7.299513041652
991,2600,18,67.5,0.998173478742
997,2600,20,166.3,1.420360493313
998,2600,11,172.1,1.843550760673
1000,2610,12,124.64,117.981475403975
1008,2610,20,131.81,139.251844617955
1014,2610,17,137.65,130.01001397108
1015,2610,24,139.42,127.85692112767
1017,2610,16,141.52,148.20702146406
1018,2610,13,144.56,130.730321043615
1022,2610,29,175.74,165.923792026485
1023,2693,10,13.9,6.026841276406
1024,2693,11,17.3,5.862034204613
1027,2693,5,33.2,24.314881514205
1029,2693,9,40.7,134.354761649305
1032,2693,22,110.9,2.495209049528
1038,2693,19,138.4,6.343139519338
1039,2693,21,142.7,7.100777784631
1040,2693,3,144.7,167.557119481985
1043,2697,6,19.3,5.968379000247
1045,2697,22,55.3,6.787854119262
1046,2697,21,55.4,7.083448872821
1052,2697,11,106.7,2.635208415993
1053,2697,12,108.1,2.749944053135
1054,2697,13,119.6,1.686860915991
1057,2697,14,147.8,2.088344441189
1067,2735,14,115.5,108.573895846675
1078,2735,2,150.8,144.745430370945
1081,2739,9,28.5,3.636454699415
1083,2739,24,40.4,3.866929226488
1084,2739,23,44.6,3.910981144405
1088,2739,13,60.3,1.995133136611
1097,2739,6,192.2,5.067731610122
1114,2745,16,131.33,138.077781781895
1146,2825,18,21.1,1.205573191668
1148,2825,14,25.5,0.899398681424998
1149,2825,15,29,1.276804139687
1152,2825,13,72.4,1.767121139111
1180,2862,0,19.3,26.07085349876
1181,2862,1,26.6,17.631189590385
1182,2862,19,45.8,52.19075555665
1190,2862,14,124.2,132.185625471125
