,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5381,11,149.98516,150.4,-0.4148399999999981
1,5382,0,128.73674499999998,128.2,0.5367449999999963
2,5382,1,129.05683,132.2,-3.143169999999998
3,5382,2,131.81086,130.3,1.5108599999999797
4,5382,3,128.59368,132.2,-3.6063199999999824
5,5382,4,128.73193,128.2,0.5319300000000169
6,5382,5,127.403838,129.2,-1.7961619999999954
7,5382,6,71.432355,74.0,-2.567644999999999
8,5382,7,71.84756999999999,74.0,-2.1524300000000096
9,5382,8,51.855470499999996,53.3,-1.4445295000000016
10,5382,9,132.177395,130.3,1.8773949999999786
11,5382,10,128.96184,132.2,-3.2381599999999935
12,5382,11,128.74334,128.2,0.5433400000000006
13,5382,12,127.4883,129.2,-1.7116999999999933
14,5382,13,128.714335,128.2,0.5143350000000169
15,5382,14,128.84105,132.2,-3.358949999999993
16,5383,0,69.252185,74.6,-5.347814999999997
17,5383,3,72.88905,74.6,-1.7109499999999969
18,5383,4,72.06229049999999,71.9,0.16229049999998324
19,5383,5,133.812745,130.5,3.3127450000000067
20,5383,6,127.563098,132.1,-4.536901999999998
21,5383,7,128.596575,128.4,0.19657499999999573
22,5383,8,127.31383,129.4,-2.08617000000001
23,5383,9,128.739395,128.4,0.3393949999999961
24,5383,10,128.26703500000002,132.1,-3.832964999999973
25,5384,0,110.017357,109.8,0.2173570000000069
26,5384,1,140.729195,142.5,-1.7708049999999957
27,5384,2,123.410395,123.7,-0.28960500000000877
28,5384,3,120.650341,120.7,-0.04965900000000545
29,5384,4,119.797503,119.5,0.29750300000000607
30,5384,5,126.2729975,126.3,-0.02700249999999471
31,5384,6,132.15877,130.3,1.8587699999999927
32,5384,7,126.32464999999999,125.1,1.224649999999997
33,5384,8,116.53808000000001,111.7,4.838080000000005
34,5384,9,134.85447,135.0,-0.14553000000000793
35,5384,10,111.0546,107.7,3.3545999999999907
36,5384,11,149.117215,147.8,1.317214999999976
37,5384,12,55.357955000000004,56.1,-0.7420449999999974
38,5384,13,30.146225,32.3,-2.153774999999996
39,5384,14,63.78334,65.4,-1.616660000000003
40,5385,0,109.806535,110.3,-0.4934650000000005
41,5385,1,140.93601999999998,143.0,-2.063980000000015
42,5385,2,123.22141500000001,122.4,0.8214150000000018
43,5385,3,120.63510500000001,121.1,-0.4648949999999843
44,5385,4,120.379985,120.7,-0.32001499999999794
45,5385,5,127.33365,127.3,0.03365000000000862
46,5385,6,132.48483,134.3,-1.8151700000000233
47,5385,7,123.88633,123.8,0.08633000000000379
48,5385,8,117.27414999999999,117.5,-0.22585000000000832
49,5385,9,123.182795,125.2,-2.017205000000004
50,5385,10,112.84060249999999,112.6,0.24060249999999428
51,5385,11,146.03534000000002,144.6,1.435340000000025
52,5385,12,94.95844,96.1,-1.1415599999999984
53,5385,13,56.254720000000006,56.6,-0.34527999999999537
54,5385,14,169.625625,168.1,1.5256250000000193
55,5385,15,30.389902,32.4,-2.0100979999999993
56,5372,7,125.455288,126.2,-0.7447120000000069
57,5372,8,143.729485,139.6,4.129485000000017
58,5372,9,124.814445,126.2,-1.3855549999999965
59,5372,10,114.9121225,110.9,4.01212249999999
60,5373,0,11.00591025,11.3,-0.29408975000000126
61,5373,1,10.152319,12.1,-1.9476809999999993
