,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5381,11,150.09953,150.4,-0.30046082
1,5382,0,128.95009,128.2,0.75009155
2,5382,1,128.97,132.2,-3.2299957
3,5382,2,130.19917,130.3,-0.10083008
4,5382,3,128.65686,132.2,-3.5431366
5,5382,4,128.85712,128.2,0.65711975
6,5382,5,127.23995,129.2,-1.9600449
7,5382,6,72.7927,74.0,-1.2072983
8,5382,7,73.09854,74.0,-0.90145874
9,5382,8,54.701065,53.3,1.4010658
10,5382,9,130.41705,130.3,0.11705017
11,5382,10,128.69936,132.2,-3.5006409
12,5382,11,128.80487,128.2,0.60487366
13,5382,12,127.22303,129.2,-1.9769669
14,5382,13,128.83919,128.2,0.6391907
15,5382,14,128.79028,132.2,-3.4097137
16,5383,0,69.54152,74.6,-5.0584793
17,5383,3,71.42925,74.6,-3.1707458
18,5383,4,72.833405,71.9,0.933403
19,5383,5,131.93443,130.5,1.434433
20,5383,6,127.890526,132.1,-4.2094803
21,5383,7,128.5644,128.4,0.16441345
22,5383,8,127.36681,129.4,-2.0331802
23,5383,9,128.78183,128.4,0.38183594
24,5383,10,128.37459,132.1,-3.725418
25,5384,0,109.77475,109.8,-0.025253296
26,5384,1,140.31587,142.5,-2.1841278
27,5384,2,123.0824,123.7,-0.6175995
28,5384,3,120.211006,120.7,-0.48899078
29,5384,4,120.152596,119.5,0.6525955
30,5384,5,126.37473,126.3,0.07472992
31,5384,6,130.1379,130.3,-0.16210938
32,5384,7,124.30236,125.1,-0.79763794
33,5384,8,115.18442,111.7,3.4844208
34,5384,9,132.41536,135.0,-2.5846405
35,5384,10,111.227,107.7,3.5270004
36,5384,11,147.25015,147.8,-0.54985046
37,5384,12,55.18609,56.1,-0.9139099
38,5384,13,29.703533,32.3,-2.596466
39,5384,14,64.18523,65.4,-1.2147751
40,5385,0,110.06265,110.3,-0.23735046
41,5385,1,140.39346,143.0,-2.6065369
42,5385,2,123.37272,122.4,0.9727173
43,5385,3,120.42184,121.1,-0.6781616
44,5385,4,120.51208,120.7,-0.18791962
45,5385,5,126.77953,127.3,-0.52046967
46,5385,6,132.10886,134.3,-2.1911469
47,5385,7,123.09403,123.8,-0.70597076
48,5385,8,117.59226,117.5,0.09226227
49,5385,9,123.57144,125.2,-1.6285553
50,5385,10,113.981895,112.6,1.381897
51,5385,11,145.21251,144.6,0.61250305
52,5385,12,94.01598,96.1,-2.084015
53,5385,13,56.26832,56.6,-0.3316803
54,5385,14,168.88046,168.1,0.78045654
55,5385,15,29.46722,32.4,-2.9327812
56,5372,7,125.7164,126.2,-0.4835968
57,5372,8,141.93358,139.6,2.3335724
58,5372,9,125.02039,126.2,-1.1796036
59,5372,10,113.344765,110.9,2.4447632
60,5373,0,11.081165,11.3,-0.21883488
61,5373,1,10.091597,12.1,-2.0084038
62,5373,2,131.9541,123.9,8.0541
63,5373,3,130.1655,136.4,-6.234497
64,5373,4,135.49557,135.4,0.095581055
65,5373,5,167.98799,166.8,1.1879883
66,5373,6,40.674362,43.0,-2.3256378
67,5373,7,132.92358,132.4,0.5235901
68,5373,8,128.69566,129.1,-0.40434265
69,5373,9,128.41379,128.8,-0.3862152
70,5373,10,127.17512,127.5,-0.3248825
71,5373,11,128.39247,128.8,-0.40753174
72,5373,12,128.68408,129.1,-0.41592407
73,5374,0,31.57501,27.5,4.0750103
74,5374,1,26.036783,22.3,3.736784
75,5374,2,24.398968,24.2,0.19896698
76,5374,3,29.316345,28.6,0.71634483
77,5374,4,39.746513,39.6,0.1465149
78,5374,5,47.868813,44.1,3.768814
79,5374,6,33.29456,30.1,3.194559
80,5374,7,157.51653,146.7,10.816528
81,5374,8,29.22482,26.4,2.8248196
82,5374,9,104.52506,104.0,0.52506256
83,5375,0,28.86382,30.8,-1.9361801
84,5375,1,51.72579,53.7,-1.9742126
85,5375,2,148.37128,160.3,-11.928726
86,5375,3,42.188297,44.2,-2.0117035
87,5375,4,29.889141,23.3,6.589142
88,5375,5,30.229633,27.0,3.2296333
89,5375,6,37.99961,34.7,3.2996101
90,5376,0,128.7322,129.5,-0.767807
91,5376,1,126.92408,129.9,-2.975914
92,5376,2,126.918076,129.9,-2.9819183
93,5376,3,128.72668,129.5,-0.7733154
94,5376,4,133.93279,134.3,-0.36721802
95,5376,5,133.93037,134.3,-0.3696289
96,5376,6,132.58426,132.7,-0.115737915
97,5376,7,132.58342,132.7,-0.11657715
98,5376,8,133.99133,134.2,-0.20866394
99,5376,9,133.98921,134.2,-0.21078491
100,5376,10,186.66827,192.3,-5.631729
101,5376,11,186.66519,192.3,-5.6348114
102,5377,3,132.12294,132.5,-0.37705994
103,5377,4,138.83664,137.1,1.7366333
104,5377,6,74.34233,72.9,1.4423294
105,5377,7,74.35339,72.9,1.453392
106,5377,8,138.83893,137.1,1.7389221
107,5377,13,132.12486,132.5,-0.37513733
108,5378,0,127.54505,126.9,0.64505005
109,5378,1,124.10869,122.0,2.1086884
110,5378,2,149.74692,149.7,0.046920776
111,5378,3,124.4007,120.5,3.9007034
112,5378,4,148.72441,149.7,-0.97558594
113,5378,5,124.33785,122.0,2.3378525
114,5378,6,72.43644,70.7,1.7364426
115,5378,7,72.61642,70.7,1.91642
116,5378,8,30.429852,32.0,-1.5701485
117,5378,9,29.690893,32.0,-2.3091068
118,5378,10,30.34222,32.0,-1.6577797
119,5378,11,30.029388,32.0,-1.9706116
120,5379,0,122.228676,123.5,-1.2713242
121,5379,1,143.48093,142.8,0.68092346
122,5379,2,143.77719,144.8,-1.0228119
123,5379,3,124.9758,124.4,0.57579803
124,5379,4,127.86061,127.4,0.46060944
125,5379,5,127.25303,126.9,0.35302734
126,5379,6,38.24603,38.3,-0.053970337
127,5379,7,130.90189,140.4,-9.498108
128,5379,8,136.71063,138.6,-1.8893738
129,5380,0,136.55267,136.9,-0.34732056
130,5380,1,120.86317,121.1,-0.23683167
131,5380,2,155.86241,155.7,0.16241455
132,5380,3,149.81364,149.9,-0.08634949
133,5380,4,122.04716,123.1,-1.0528412
134,5380,5,141.4619,144.8,-3.3381042
135,5380,6,126.862755,127.4,-0.5372467
