,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5376,0,129.24115,129.5,-0.2588501
1,5376,1,127.74495,129.9,-2.1550446
2,5376,2,127.74406,129.9,-2.1559372
3,5376,3,129.23723,129.5,-0.2627716
4,5376,4,134.31609,134.3,0.016082764
5,5376,5,134.31355,134.3,0.013549805
6,5376,6,131.06107,132.7,-1.6389313
7,5376,7,131.06471,132.7,-1.6352844
8,5376,8,133.75874,134.2,-0.44125366
9,5376,9,133.75876,134.2,-0.4412384
10,5376,10,190.81947,192.3,-1.4805298
11,5376,11,190.8199,192.3,-1.4801025
12,5377,3,133.00868,132.5,0.50868225
13,5377,4,139.60393,137.1,2.5039215
14,5377,6,74.414154,72.9,1.5141525
15,5377,7,74.39795,72.9,1.4979477
16,5377,8,139.60025,137.1,2.5002441
17,5377,13,133.00795,132.5,0.5079498
18,5378,0,127.59359,126.9,0.69358826
19,5378,1,123.89142,122.0,1.8914185
20,5378,2,150.43607,149.7,0.7360687
21,5378,3,121.64206,120.5,1.1420593
22,5378,4,150.62433,149.7,0.92433167
23,5378,5,123.70621,122.0,1.7062073
24,5378,6,71.97775,70.7,1.2777557
25,5378,7,72.033615,70.7,1.3336182
26,5378,8,31.024738,32.0,-0.9752617
27,5378,9,30.984955,32.0,-1.0150452
28,5378,10,30.915934,32.0,-1.0840664
29,5378,11,30.933933,32.0,-1.0660667
30,5379,0,123.037895,123.5,-0.4621048
31,5379,1,143.83424,142.8,1.0342407
32,5379,2,145.58972,144.8,0.7897186
33,5379,3,124.68326,124.4,0.28325653
34,5379,4,127.54218,127.4,0.1421814
35,5379,5,127.55343,126.9,0.6534271
36,5379,6,37.10291,38.3,-1.1970901
37,5379,7,134.84009,140.4,-5.559906
38,5379,8,141.78105,138.6,3.1810455
39,5380,0,137.29892,136.9,0.39892578
40,5380,1,121.1321,121.1,0.032104492
41,5380,2,156.77788,155.7,1.0778809
42,5380,3,149.80544,149.9,-0.094558716
43,5380,4,122.737495,123.1,-0.36250305
44,5380,5,145.18164,144.8,0.38163757
45,5380,6,128.1018,127.4,0.7018051
46,5380,7,129.92937,130.1,-0.17063904
47,5380,8,136.63292,136.3,0.33291626
48,5380,9,129.77936,130.1,-0.3206482
49,5380,10,127.92274,127.4,0.5227356
50,5380,11,192.96744,191.9,1.0674438
51,5381,0,150.77675,150.4,0.37675476
52,5381,1,122.87741,122.7,0.17741394
53,5381,2,142.9154,143.9,-0.9845886
54,5381,3,194.25768,193.8,0.45767212
55,5381,4,123.17035,122.7,0.47035217
56,5381,5,135.52051,134.1,1.4205017
57,5381,6,131.00351,131.5,-0.49649048
58,5381,7,129.10243,129.0,0.10243225
59,5381,8,138.89134,140.1,-1.208664
60,5381,9,129.07657,129.0,0.0765686
61,5381,10,131.42648,131.5,-0.073516846
62,5381,11,149.87808,150.4,-0.5219116
63,5382,0,128.65771,128.2,0.4577179
64,5382,1,131.32349,132.2,-0.8765106
65,5382,2,129.62302,130.3,-0.6769867
66,5382,3,132.26422,132.2,0.06422424
67,5382,4,128.82173,128.2,0.6217346
68,5382,5,128.04872,129.2,-1.1512756
69,5382,6,75.14886,74.0,1.1488571
70,5382,7,75.038,74.0,1.038002
71,5382,8,55.924698,53.3,2.6246986
72,5382,9,129.7773,130.3,-0.5227051
73,5382,10,132.09251,132.2,-0.10748291
74,5382,11,128.77428,128.2,0.5742798
75,5382,12,127.936264,129.2,-1.2637329
76,5382,13,128.64183,128.2,0.4418335
77,5382,14,131.29678,132.2,-0.9032135
78,5383,0,78.419365,74.6,3.8193665
79,5383,3,76.720146,74.6,2.1201477
80,5383,4,79.5029,71.9,7.6028976
81,5383,5,130.43053,130.5,-0.06947327
82,5383,6,130.8102,132.1,-1.2898102
83,5383,7,128.72313,128.4,0.32313538
84,5383,8,128.02101,129.4,-1.3789825
85,5383,9,128.85268,128.4,0.4526825
86,5383,10,132.06131,132.1,-0.03869629
87,5384,0,109.65672,109.8,-0.14328003
88,5384,1,143.21378,142.5,0.71377563
89,5384,2,123.06062,123.7,-0.6393738
90,5384,3,121.118256,120.7,0.41825867
91,5384,4,119.587204,119.5,0.08720398
92,5384,5,126.51028,126.3,0.21027374
93,5384,6,131.70184,130.3,1.4018402
94,5384,7,124.35383,125.1,-0.74617004
95,5384,8,112.89932,111.7,1.1993256
96,5384,9,135.00415,135.0,0.0041503906
97,5384,10,109.31262,107.7,1.6126251
98,5384,11,147.80655,147.8,0.0065460205
99,5384,12,55.151558,56.1,-0.94844055
100,5384,13,30.761354,32.3,-1.5386448
101,5384,14,65.80026,65.4,0.40026093
102,5385,0,109.99896,110.3,-0.30104065
103,5385,1,143.12822,143.0,0.1282196
104,5385,2,123.1373,122.4,0.73729706
105,5385,3,121.46609,121.1,0.36608887
106,5385,4,120.19319,120.7,-0.5068054
107,5385,5,126.878235,127.3,-0.4217682
108,5385,6,135.74843,134.3,1.4484253
109,5385,7,124.232315,123.8,0.432312
110,5385,8,118.795555,117.5,1.2955551
111,5385,9,124.26917,125.2,-0.9308243
112,5385,10,112.70797,112.6,0.10797119
113,5385,11,145.10637,144.6,0.5063629
114,5385,12,95.21422,96.1,-0.88578033
115,5385,13,55.715385,56.6,-0.88461304
116,5385,14,168.81714,168.1,0.71713257
117,5385,15,30.881065,32.4,-1.5189362
118,5328,0,133.2118,133.1,0.11180115
119,5328,1,111.283714,113.5,-2.2162857
120,5328,2,133.47127,133.1,0.3712616
121,5328,3,122.55761,122.7,-0.14238739
122,5328,4,156.15802,154.2,1.9580231
123,5328,5,122.18282,122.7,-0.51717377
124,5328,6,71.89951,72.7,-0.8004837
125,5328,7,118.856804,118.4,0.45680237
126,5328,8,142.89786,142.5,0.39785767
127,5328,9,113.710304,114.0,-0.28969574
128,5328,10,24.821255,24.8,0.021255493
129,5328,11,25.063229,24.8,0.26322937
130,5329,0,116.24769,115.7,0.54769135
131,5329,1,137.04128,137.1,-0.05873108
132,5329,2,41.06948,41.0,0.069480896
133,5329,3,38.672134,37.4,1.2721329
134,5329,4,19.565115,19.4,0.16511536
135,5329,5,144.61646,144.0,0.6164551
136,5329,6,113.19158,112.5,0.6915817
137,5330,0,18.43663,16.5,1.9366302
138,5330,1,39.14771,38.8,0.34770966
139,5330,2,68.75939,70.0,-1.2406082
140,5330,3,67.17444,70.0,-2.8255615
141,5330,4,36.831406,36.5,0.33140564
142,5330,5,17.807892,18.5,-0.69210815
143,5330,6,14.293732,15.0,-0.7062683
144,5331,0,146.54384,147.4,-0.8561554
145,5331,1,42.172363,43.3,-1.127636
146,5331,2,130.74713,131.0,-0.25286865
147,5331,3,131.15295,132.0,-0.8470459
148,5331,4,128.71495,127.5,1.2149506
149,5331,5,38.844723,35.5,3.3447227
150,5331,6,136.69737,137.4,-0.70262146
151,5331,7,116.47287,115.0,1.4728699
152,5332,0,143.71535,143.4,0.3153534
153,5332,3,41.912704,40.5,1.4127045
154,5332,5,118.196884,118.1,0.09688568
155,5332,6,35.306824,34.9,0.4068222
156,5332,7,21.535025,21.2,0.33502388
157,5332,8,21.447443,21.7,-0.25255775
158,5332,9,32.046757,32.4,-0.35324478
159,5332,10,19.605022,19.7,-0.09497833
160,5332,11,19.43505,20.0,-0.56495094
161,5333,0,123.48037,123.2,0.28037262
162,5333,1,131.25313,128.3,2.953125
163,5333,2,131.25154,128.3,2.951538
164,5333,3,123.48759,123.2,0.28759003
165,5333,4,135.39893,134.6,0.7989197
166,5333,5,135.39977,134.6,0.7997589
167,5333,6,166.49188,162.7,3.7918854
168,5333,7,166.47151,162.7,3.771515
169,5333,8,62.918877,64.7,-1.7811203
170,5333,9,75.92684,76.4,-0.4731598
171,5333,10,76.57719,80.0,-3.4228134
172,5334,0,10.801407,10.4,0.40140724
173,5334,1,29.938156,30.6,-0.66184425
174,5334,2,52.89881,52.6,0.29881287
175,5334,3,38.559708,37.3,1.2597084
176,5334,4,28.365566,28.4,-0.034433365
177,5334,5,22.44455,22.9,-0.45545006
178,5334,6,13.982733,14.1,-0.11726761
179,5335,0,36.575783,33.9,2.6757812
180,5335,1,35.858654,37.5,-1.641346
181,5335,2,145.24408,144.4,0.8440857
182,5335,3,113.011925,111.2,1.8119278
183,5336,0,36.315605,37.5,-1.1843948
184,5336,1,36.604393,35.4,1.2043915
185,5336,2,170.38081,169.5,0.8808136
186,5336,3,39.716606,43.3,-3.583393
187,5336,4,44.73408,43.7,1.0340805
188,5336,5,22.749826,22.5,0.24982643
189,5336,6,82.18746,84.5,-2.3125381
190,5336,7,73.977165,72.6,1.3771667
191,5336,8,201.47398,199.3,2.1739807
192,5337,0,111.31212,115.1,-3.78788
193,5337,1,138.63634,140.5,-1.8636627
194,5337,2,186.57726,188.9,-2.3227386
195,5337,3,34.55409,35.4,-0.84591293
196,5337,4,159.722,158.2,1.5220032
