,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5381,11,149.87079,150.4,-0.5292053
1,5382,0,128.5234,128.2,0.32341003
2,5382,1,129.14366,132.2,-3.0563354
3,5382,2,133.42255,130.3,3.1225433
4,5382,3,128.5305,132.2,-3.6694946
5,5382,4,128.60674,128.2,0.40673828
6,5382,5,127.567726,129.2,-1.6322708
7,5382,6,70.07201,74.0,-3.9279938
8,5382,7,70.5966,74.0,-3.4033966
9,5382,8,49.009876,53.3,-4.290123
10,5382,9,133.93774,130.3,3.637741
11,5382,10,129.22432,132.2,-2.9756775
12,5382,11,128.68181,128.2,0.48181152
13,5382,12,127.75357,129.2,-1.4464264
14,5382,13,128.58948,128.2,0.3894806
15,5382,14,128.89182,132.2,-3.3081818
16,5383,0,68.96285,74.6,-5.637146
17,5383,3,74.34885,74.6,-0.25115204
18,5383,4,71.291176,71.9,-0.6088257
19,5383,5,135.69106,130.5,5.1910553
20,5383,6,127.23567,132.1,-4.864334
21,5383,7,128.62875,128.4,0.22875977
22,5383,8,127.26085,129.4,-2.139145
23,5383,9,128.69696,128.4,0.29696655
24,5383,10,128.15948,132.1,-3.9405212
25,5384,0,110.259964,109.8,0.45996094
26,5384,1,141.14252,142.5,-1.3574829
27,5384,2,123.73839,123.7,0.038391113
28,5384,3,121.089676,120.7,0.38967896
29,5384,4,119.44241,119.5,-0.05758667
30,5384,5,126.171265,126.3,-0.1287384
31,5384,6,134.17964,130.3,3.8796387
32,5384,7,128.34694,125.1,3.2469406
33,5384,8,117.89174,111.7,6.191742
34,5384,9,137.29358,135.0,2.293579
35,5384,10,110.8822,107.7,3.1822052
36,5384,11,150.98428,147.8,3.1842804
37,5384,12,55.52982,56.1,-0.570179
38,5384,13,30.588917,32.3,-1.7110825
39,5384,14,63.38145,65.4,-2.0185509
40,5385,0,109.55042,110.3,-0.7495804
41,5385,1,141.47858,143.0,-1.5214233
42,5385,2,123.07011,122.4,0.670105
43,5385,3,120.84837,121.1,-0.25162506
44,5385,4,120.24789,120.7,-0.4521103
45,5385,5,127.88777,127.3,0.58776855
46,5385,6,132.8608,134.3,-1.439209
47,5385,7,124.67863,123.8,0.87862396
48,5385,8,116.95604,117.5,-0.5439606
49,5385,9,122.79415,125.2,-2.4058456
50,5385,10,111.69931,112.6,-0.9006882
51,5385,11,146.85817,144.6,2.2581635
52,5385,12,95.9009,96.1,-0.19909668
53,5385,13,56.24112,56.6,-0.3588791
54,5385,14,170.37079,168.1,2.2707825
55,5385,15,31.312584,32.4,-1.0874176
56,5372,7,125.194176,126.2,-1.0058212
57,5372,8,145.52539,139.6,5.9253845
58,5372,9,124.6085,126.2,-1.5914993
59,5372,10,116.47948,110.9,5.5794754
60,5373,0,10.9306555,11.3,-0.3693447
61,5373,1,10.213041,12.1,-1.8869591
62,5373,2,126.29541,123.9,2.3954086
63,5373,3,130.07135,136.4,-6.328644
64,5373,4,136.38719,135.4,0.9871979
65,5373,5,166.26149,166.8,-0.5385132
66,5373,6,42.490597,43.0,-0.5094032
67,5373,7,134.01965,132.4,1.6196594
68,5373,8,128.81323,129.1,-0.28677368
69,5373,9,128.50851,128.8,-0.29148865
70,5373,10,126.98426,127.5,-0.51573944
71,5373,11,128.42665,128.8,-0.37335205
72,5373,12,128.84885,129.1,-0.25115967
73,5374,0,26.790447,27.5,-0.70955276
74,5374,1,24.040813,22.3,1.7408142
75,5374,2,22.90952,24.2,-1.2904816
76,5374,3,27.56691,28.6,-1.0330906
77,5374,4,36.694477,39.6,-2.9055214
78,5374,5,43.801373,44.1,-0.29862595
79,5374,6,31.649952,30.1,1.5499516
80,5374,7,157.9674,146.7,11.26741
81,5374,8,28.12535,26.4,1.7253513
82,5374,9,102.39087,104.0,-1.6091309
83,5375,0,28.321499,30.8,-2.4785004
84,5375,1,55.19871,53.7,1.4987106
85,5375,2,152.27649,160.3,-8.023514
86,5375,3,46.1517,44.2,1.9516983
87,5375,4,27.042229,23.3,3.7422295
88,5375,5,25.092472,27.0,-1.9075279
89,5375,6,36.193584,34.7,1.4935837
90,5376,0,128.66478,129.5,-0.83522034
91,5376,1,127.83679,129.9,-2.063202
92,5376,2,127.90565,129.9,-1.9943466
93,5376,3,127.67761,129.5,-1.8223877
94,5376,4,133.17741,134.3,-1.1225891
95,5376,5,133.35931,134.3,-0.9406891
96,5376,6,130.90979,132.7,-1.7902069
97,5376,7,130.24799,132.7,-2.452011
98,5376,8,130.86813,134.2,-3.3318634
99,5376,9,130.75307,134.2,-3.44693
100,5376,10,189.40959,192.3,-2.8904114
101,5376,11,189.39694,192.3,-2.903061
102,5377,3,132.53476,132.5,0.03475952
103,5377,4,140.25844,137.1,3.158432
104,5377,6,74.73646,72.9,1.8364563
105,5377,7,75.249985,72.9,2.3499832
106,5377,8,143.03894,137.1,5.9389343
107,5377,13,132.60963,132.5,0.1096344
108,5378,0,125.23953,126.9,-1.660469
109,5378,1,123.890686,122.0,1.890686
110,5378,2,148.69238,149.7,-1.0076141
111,5378,3,122.47866,120.5,1.9786606
112,5378,4,146.55872,149.7,-3.1412811
113,5378,5,123.55148,122.0,1.5514832
114,5378,6,72.00137,70.7,1.3013763
115,5378,7,72.11281,70.7,1.4128113
116,5378,8,30.65535,32.0,-1.3446503
117,5378,9,30.592758,32.0,-1.4072418
118,5378,10,30.544472,32.0,-1.4555283
119,5378,11,30.925034,32.0,-1.0749664
120,5379,0,122.81296,123.5,-0.68704224
121,5379,1,143.2576,142.8,0.45759583
122,5379,2,143.4585,144.8,-1.341507
123,5379,3,124.88663,124.4,0.48662567
124,5379,4,127.19307,127.4,-0.20693207
125,5379,5,127.06958,126.9,0.16957855
126,5379,6,36.30102,38.3,-1.9989777
127,5379,7,136.11488,140.4,-4.2851105
128,5379,8,138.76857,138.6,0.16856384
129,5380,0,137.22864,136.9,0.3286438
130,5380,1,123.33099,121.1,2.2309952
131,5380,2,154.51793,155.7,-1.1820679
132,5380,3,149.29614,149.9,-0.6038513
133,5380,4,123.30888,123.1,0.2088852
134,5380,5,144.717,144.8,-0.08300781
135,5380,6,128.04482,127.4,0.64481354
136,5380,7,131.32283,130.1,1.2228241
137,5380,8,135.5267,136.3,-0.7733002
138,5380,9,130.5292,130.1,0.42919922
139,5380,10,127.810936,127.4,0.41093445
140,5380,11,191.80214,191.9,-0.097854614
141,5381,0,150.14896,150.4,-0.2510376
142,5381,1,123.82358,122.7,1.1235809
143,5381,2,142.59811,143.9,-1.3018799
144,5381,3,192.74568,193.8,-1.0543213
145,5381,4,126.603836,122.7,3.903839
146,5381,5,131.9251,134.1,-2.1749115
147,5381,6,130.47847,131.5,-1.0215302
148,5381,7,128.81865,129.0,-0.18135071
149,5381,8,139.36151,140.1,-0.7384949
150,5381,9,128.96056,129.0,-0.03944397
151,5381,10,131.02216,131.5,-0.47784424
152,5363,10,51.41215,52.1,-0.68784714
153,5364,0,74.80696,73.4,1.4069595
154,5364,1,38.550335,38.3,0.2503357
155,5364,2,65.362785,66.5,-1.1372147
156,5364,3,32.554634,30.3,2.2546349
157,5364,4,19.512497,20.6,-1.0875034
158,5364,5,28.430965,26.5,1.9309654
159,5364,6,30.794636,26.0,4.794636
160,5364,7,26.872967,25.5,1.3729668
161,5364,8,64.19321,64.0,0.19320679
162,5364,9,60.585934,63.5,-2.9140663
163,5364,12,17.923065,17.7,0.22306442
164,5365,0,121.774826,119.0,2.774826
165,5365,1,141.56377,148.6,-7.0362396
166,5365,2,38.511536,34.9,3.611534
167,5365,3,34.432625,36.9,-2.4673767
168,5365,4,26.40456,24.7,1.7045593
169,5365,5,66.59995,70.8,-4.2000504
170,5365,6,32.4039,32.2,0.20389938
171,5365,7,26.230854,28.2,-1.9691467
172,5365,8,21.06556,22.1,-1.034441
173,5365,9,37.68398,41.9,-4.2160225
174,5365,10,21.78423,23.6,-1.8157711
175,5366,0,121.60615,117.2,4.406151
176,5366,1,142.16333,150.6,-8.436676
177,5366,2,37.99673,34.8,3.1967316
178,5366,3,32.3696,34.6,-2.2304
179,5366,4,27.635216,24.7,2.935215
180,5366,5,67.286865,67.9,-0.6131363
181,5366,6,32.732403,32.2,0.53240204
182,5366,7,25.74759,27.7,-1.9524117
183,5366,8,21.88469,21.9,-0.0153102875
184,5366,9,39.88034,41.4,-1.519661
185,5366,10,26.265167,22.7,3.5651665
186,5366,11,170.58774,170.7,-0.11225891
187,5366,12,21.178574,21.4,-0.22142601
188,5367,0,29.038006,30.4,-1.3619938
189,5367,1,29.163914,30.5,-1.3360863
190,5367,2,104.8806,92.7,12.180603
191,5367,3,169.02432,171.8,-2.7756805
192,5367,4,122.892624,124.7,-1.807373
193,5367,5,139.00755,139.5,-0.4924469
194,5367,6,33.487732,36.9,-3.4122696
195,5367,7,76.986984,75.6,1.3869858
196,5367,8,163.94473,168.2,-4.2552643
197,5367,9,21.986256,21.4,0.586256
198,5368,0,31.188293,30.3,0.8882942
199,5368,1,28.616322,25.3,3.3163223
200,5368,2,103.701004,92.1,11.601006
201,5368,3,167.87125,171.5,-3.6287537
202,5368,4,122.56492,124.2,-1.6350784
203,5368,5,139.05176,140.2,-1.1482391
204,5368,6,32.359913,33.1,-0.7400856
205,5368,7,72.20845,74.4,-2.1915512
206,5368,8,164.45374,168.0,-3.5462646
207,5368,9,18.72438,19.9,-1.1756191
208,5369,0,39.96253,41.1,-1.1374702
209,5369,1,140.59244,137.3,3.2924347
210,5369,2,128.09781,125.0,3.0978088
211,5369,3,140.49718,138.0,2.4971771
212,5369,4,125.125946,125.0,0.12594604
213,5369,5,144.53938,137.3,7.23938
214,5369,6,36.082092,39.0,-2.9179077
215,5369,7,24.307243,23.7,0.6072426
216,5369,8,130.1241,131.2,-1.0758972
217,5369,9,130.79202,131.2,-0.40797424
218,5369,10,25.65393,23.7,1.9539299
219,5369,11,35.591198,39.0,-3.408802
220,5369,12,115.80358,111.3,4.503578
221,5370,0,129.44711,129.0,0.44711304
222,5370,1,124.32559,124.2,0.1255951
223,5370,2,147.92343,148.8,-0.87657166
224,5370,3,124.70213,124.2,0.50213623
225,5370,4,128.8048,129.0,-0.19520569
226,5370,5,138.99759,139.9,-0.9024048
227,5370,6,151.11304,148.9,2.2130432
228,5370,7,130.8824,131.6,-0.7176056
229,5370,8,193.10991,192.9,0.20991516
230,5371,0,10.232393,13.1,-2.867607
231,5371,1,7.8771,7.3,0.5770998
232,5371,2,128.01361,122.6,5.4136124
233,5371,3,131.03906,131.3,-0.26094055
234,5371,4,134.67044,135.4,-0.7295532
235,5371,5,141.78912,148.1,-6.3108826
236,5371,6,116.64225,111.9,4.7422485
237,5371,7,128.97429,129.3,-0.3257141
238,5371,8,123.372665,120.1,3.272667
239,5371,9,128.86119,129.3,-0.43881226
240,5371,10,118.28182,111.9,6.3818207
241,5372,0,11.77273,13.1,-1.3272705
242,5372,1,9.587663,7.1,2.4876628
243,5372,2,130.18227,122.3,7.882263
244,5372,3,130.6058,131.6,-0.99420166
245,5372,4,132.80066,135.1,-2.299347
246,5372,5,142.88112,153.6,-10.718887
247,5372,6,114.27179,110.9,3.371788
248,5353,7,32.092358,26.4,5.692358
249,5353,8,33.85084,26.4,7.450842
250,5353,9,82.3298,78.7,3.6298065
251,5354,0,26.483578,24.8,1.6835785
252,5354,3,38.66041,31.4,7.260412
253,5354,4,200.07588,198.4,1.6758881
254,5354,5,198.67285,200.9,-2.2271423
255,5354,6,28.022636,28.5,-0.4773636
256,5354,7,168.95364,171.9,-2.94635
257,5354,8,51.73617,51.2,0.53617096
258,5354,9,17.069557,15.4,1.6695576
259,5354,10,21.530357,28.7,-7.1696434
260,5355,0,147.98828,147.0,0.98828125
261,5355,1,160.44221,160.5,-0.057785034
262,5355,2,120.614044,114.6,6.0140457
263,5355,3,141.11856,145.1,-3.9814453
264,5355,4,143.06143,143.0,0.061431885
265,5355,5,97.06428,94.4,2.6642761
266,5355,10,13.2032995,12.7,0.5032997
267,5356,0,55.322475,58.0,-2.6775246
268,5356,1,74.27307,88.0,-13.726929
269,5356,3,34.274323,47.4,-13.125679
270,5356,4,57.753063,55.1,2.6530647
271,5356,5,27.390179,32.0,-4.6098213
272,5356,6,21.812752,30.0,-8.187248
273,5356,7,45.177048,45.8,-0.6229515
274,5356,8,178.45757,179.1,-0.6424408
275,5357,0,25.420948,27.1,-1.6790524
276,5357,1,21.793354,28.4,-6.6066456
277,5357,2,38.095924,44.6,-6.504074
278,5357,3,40.21059,43.3,-3.0894089
279,5357,4,32.333626,33.1,-0.7663727
280,5357,5,53.610065,61.6,-7.989933
281,5357,6,31.369823,35.3,-3.9301758
282,5357,7,58.262745,62.6,-4.3372536
283,5358,0,24.901745,25.5,-0.59825516
284,5358,1,23.462257,27.6,-4.137743
285,5358,2,41.475956,45.9,-4.4240456
286,5358,3,38.160076,40.2,-2.0399246
287,5358,4,31.456917,33.5,-2.0430832
288,5358,5,52.7569,59.2,-6.4431
289,5358,6,31.186195,35.2,-4.0138054
290,5358,7,56.602436,61.7,-5.0975647
291,5359,0,43.713295,46.5,-2.786705
292,5359,1,44.35235,44.7,-0.34765244
293,5359,2,43.93356,51.0,-7.0664406
294,5359,3,43.796368,44.0,-0.20363235
295,5359,4,138.98825,134.9,4.088257
296,5359,5,136.75522,134.7,2.0552216
297,5359,6,58.241985,60.4,-2.1580162
298,5359,7,32.75252,31.1,1.6525211
299,5359,8,56.370747,61.5,-5.1292534
300,5359,9,49.190933,52.0,-2.8090668
301,5360,0,68.980316,64.9,4.0803146
302,5360,1,27.186005,26.7,0.48600388
303,5360,2,24.570694,24.3,0.27069473
304,5360,3,45.18001,46.7,-1.519989
305,5360,4,198.0585,200.5,-2.4414978
306,5360,5,154.93774,153.9,1.0377502
307,5360,6,80.521034,80.2,0.3210373
308,5360,7,28.234863,28.4,-0.16513634
309,5360,8,28.276794,28.4,-0.123205185
310,5360,9,28.320557,28.4,-0.07944298
311,5361,0,57.340244,55.1,2.2402458
312,5361,2,23.727638,23.8,-0.07236099
313,5361,3,47.334244,46.6,0.7342453
314,5361,4,62.44897,63.5,-1.0510292
315,5361,5,174.17722,175.9,-1.7227783
316,5361,7,33.416355,32.1,1.3163567
317,5361,9,175.44266,178.0,-2.5573425
318,5361,10,39.14372,38.3,0.8437195
319,5361,11,26.765926,26.7,0.0659256
320,5361,12,27.870655,26.7,1.1706543
321,5361,13,27.960583,26.7,1.260582
322,5362,0,55.04486,52.4,2.6448593
323,5362,1,67.16477,69.7,-2.535225
324,5362,2,39.090504,43.3,-4.2094955
325,5362,3,72.058945,71.1,0.9589462
326,5362,4,52.812912,60.9,-8.08709
327,5362,5,146.39496,147.2,-0.80503845
328,5362,6,128.91718,128.7,0.21717834
329,5362,7,123.96146,123.7,0.26145935
330,5362,8,146.20923,147.4,-1.1907654
