,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5376,0,128.44203,129.5,-1.0579681
1,5376,1,127.89473,129.9,-2.0052643
2,5376,2,127.838295,129.9,-2.061699
3,5376,3,128.64096,129.5,-0.8590393
4,5376,4,132.47882,134.3,-1.8211823
5,5376,5,132.89915,134.3,-1.4008484
6,5376,6,133.23695,132.7,0.5369568
7,5376,7,133.12344,132.7,0.42344666
8,5376,8,130.24268,134.2,-3.9573212
9,5376,9,131.27974,134.2,-2.9202576
10,5376,10,191.16582,192.3,-1.1341858
11,5376,11,191.04094,192.3,-1.2590637
12,5377,3,132.89507,132.5,0.3950653
13,5377,4,138.03139,137.1,0.9313812
14,5377,6,75.55146,72.9,2.6514587
15,5377,7,76.31945,72.9,3.4194489
16,5377,8,138.47406,137.1,1.374054
17,5377,13,132.60112,132.5,0.101119995
18,5378,0,124.7955,126.9,-2.1044998
19,5378,1,122.09323,122.0,0.0932312
20,5378,2,151.37207,149.7,1.6720734
21,5378,3,122.51738,120.5,2.0173798
22,5378,4,151.18576,149.7,1.4857635
23,5378,5,122.41987,122.0,0.41986847
24,5378,6,72.49991,70.7,1.7999115
25,5378,7,72.613235,70.7,1.9132385
26,5378,8,31.795084,32.0,-0.204916
27,5378,9,31.90599,32.0,-0.0940094
28,5378,10,31.71674,32.0,-0.28326035
29,5378,11,31.77658,32.0,-0.22341919
30,5379,0,123.00416,123.5,-0.49584198
31,5379,1,144.24054,142.8,1.4405365
32,5379,2,144.77348,144.8,-0.026519775
33,5379,3,124.048744,124.4,-0.35125732
34,5379,4,125.86368,127.4,-1.5363235
35,5379,5,126.196106,126.9,-0.70389557
36,5379,6,37.359592,38.3,-0.9404068
37,5379,7,131.83513,140.4,-8.564865
38,5379,8,142.11107,138.6,3.5110626
39,5380,0,135.79666,136.9,-1.1033325
40,5380,1,120.76389,121.1,-0.33610535
41,5380,2,154.94621,155.7,-0.7537842
42,5380,3,149.18532,149.9,-0.7146759
43,5380,4,122.05047,123.1,-1.04953
44,5380,5,142.81664,144.8,-1.9833679
45,5380,6,127.04499,127.4,-0.355011
46,5380,7,129.11967,130.1,-0.9803314
47,5380,8,135.90991,136.3,-0.39009094
48,5380,9,129.48125,130.1,-0.61875916
49,5380,10,126.67481,127.4,-0.7251892
50,5380,11,191.54216,191.9,-0.35783386
51,5381,0,150.64275,150.4,0.24275208
52,5381,1,122.809456,122.7,0.10945892
53,5381,2,143.40457,143.9,-0.49542236
54,5381,3,194.35791,193.8,0.5579071
55,5381,4,122.99061,122.7,0.29061127
56,5381,5,135.16963,134.1,1.0696259
57,5381,6,130.05135,131.5,-1.4486542
58,5381,7,128.35011,129.0,-0.6498871
59,5381,8,138.37587,140.1,-1.7241364
60,5381,9,128.58388,129.0,-0.41612244
61,5381,10,130.06755,131.5,-1.4324493
62,5381,11,150.11386,150.4,-0.2861328
63,5382,0,128.3108,128.2,0.110809326
64,5382,1,131.30666,132.2,-0.89334106
65,5382,2,129.1381,130.3,-1.1618958
66,5382,3,131.26617,132.2,-0.93382263
67,5382,4,128.25697,128.2,0.05697632
68,5382,5,128.01567,129.2,-1.1843262
69,5382,6,76.46536,74.0,2.4653625
70,5382,7,76.36378,74.0,2.3637772
71,5382,8,56.41858,53.3,3.1185799
72,5382,9,128.99258,130.3,-1.3074188
73,5382,10,131.68594,132.2,-0.51405334
74,5382,11,128.36893,128.2,0.16893005
75,5382,12,128.17255,129.2,-1.0274506
76,5382,13,128.42323,128.2,0.22323608
77,5382,14,131.7036,132.2,-0.49639893
78,5383,0,72.17613,74.6,-2.4238663
79,5383,3,72.20801,74.6,-2.3919907
80,5383,4,76.302216,71.9,4.402214
81,5383,5,128.78413,130.5,-1.7158661
